FLOW_ID,IP_SOURCE,PORT_SOURCE,IP_DESTINATION,PORT_DESTINATION,PROTOCOL,FIRST_TIMESTAMP,LAST_TIMESTAMP,DURATION,FWD_PACKET_COUNT,BWD_PACKET_COUNT,FWD_PKT_LEN_TOT,BWD_PKT_LEN_TOT,FWD_PKT_LEN_MAX,FWD_PKT_LEN_MIN,FWD_PKT_LEN_MEAN,FWD_PKT_LEN_STD,BWD_PKT_LEN_MAX,BWD_PKT_LEN_MIN,BWD_PKT_LEN_MEAN,BWD_PKT_LEN_STD,FLOW_BYTES_S,FLOW_PACKETS_S,FLOW_IAT_MEAN,FLOW_IAT_STD,FLOW_IAT_MAX,FLOW_IAT_MIN,FWD_IAT_TOTAL,FWD_IAT_MEAN,FWD_IAT_STD,FWD_IAT_MAX,FWD_IAT_MIN,BWD_IAT_TOTAL,BWD_IAT_MEAN,BWD_IAT_STD,BWD_IAT_MAX,BWD_IAT_MIN,FWD_PSH_FLAG_COUNT,BWD_PSH_FLAG_COUNT,FWD_URG_FLAG_COUNT,BWD_URG_FLAG_COUNT,FWD_HEADER_LENGTH,BWD_HEADER_LENGTH,FWD_PACKETS_S,BWD_PACKETS_S,FLOW_PACKET_LENGTH_MIN,FLOW_PACKET_LENGTH_MAX,FLOW_PACKET_LENGTH_MEAN,FLOW_PACKET_LENGTH_STD,FLOW_PACKET_LENGTH_VARIANCE,FLOW_FIN_COUNT,FLOW_SYN_COUNT,FLOW_RST_COUNT,FLOW_PSH_COUNT,FLOW_ACK_COUNT,FLOW_URG_COUNT,FLOW_CWE_COUNT,FLOW_ECE_COUNT,DOWN_UP_RATIO,FLOW_SEGMENT_LENGTH_MEAN,FWD_SEGMENT_LENGTH_MEAN,BWD_SEGMENT_LENGTH_MEAN,FWD_HEADER_LENGTH,FWD_BYTES_BULK,FWD_PACKETS_BULK,FWD_BULK_RATE,BWD_BYTES_BULK,BWD_PACKETS_BULK,BWD_BULK_RATE,SF_FWD_PACKETS,SF_FWD_BYTES,SF_BWD_PACKETS,SF_BWD_BYTES,FWD_INIT_WIN_BYTES,BWD_INIT_WIN_BYTES,FWD_ACT_DATA_PKT,FWD_HEADER_LEN_MIN,ACTIVE_MEAN,ACTIVE_STD,ACTIVE_MAX,ACTIVE_MIN,IDLE_MEAN,IDLE_STD,IDLE_MAX,IDLE_MIN,label,category,subcategory
192.168.177.151:39865-192.168.126.204:80-17,192.168.177.151,39865,192.168.126.204,80,17,2024-07-19 09:12:44.287300 UTC,2024-07-19 09:12:44.287300 UTC,0,1,0,67,0,67,67,67,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,67,67,67,0,0,0,0,0,0,0,0,0,0,0,75,75,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48645-192.168.126.204:8080-17,192.168.177.151,48645,192.168.126.204,8080,17,2024-07-19 09:12:34.202455 UTC,2024-07-19 09:12:34.202455 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48645-192.168.126.204:73-17,192.168.177.151,48645,192.168.126.204,73,17,2024-07-19 09:12:30.397144 UTC,2024-07-19 09:12:30.397144 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48643-192.168.126.204:77-17,192.168.177.151,48643,192.168.126.204,77,17,2024-07-19 09:12:29.293959 UTC,2024-07-19 09:12:29.293959 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48417-192.168.126.204:80-17,192.168.177.151,48417,192.168.126.204,80,17,2024-07-19 09:12:34.280185 UTC,2024-07-19 09:12:34.280185 UTC,0,1,0,14,0,14,14,14,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,14,14,14,0,0,0,0,0,0,0,0,0,0,0,22,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:56469-192.168.126.204:71-17,192.168.177.151,56469,192.168.126.204,71,17,2024-07-19 09:12:39.283413 UTC,2024-07-19 09:12:39.283413 UTC,0,1,0,30,0,30,30,30,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,30,30,30,0,0,0,0,0,0,0,0,0,0,0,38,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48649-192.168.126.204:80-17,192.168.177.151,48649,192.168.126.204,80,17,2024-07-19 09:12:34.002086 UTC,2024-07-19 09:12:34.002086 UTC,0,1,0,14,0,14,14,14,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,14,14,14,0,0,0,0,0,0,0,0,0,0,0,22,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48641-192.168.126.204:77-17,192.168.177.151,48641,192.168.126.204,77,17,2024-07-19 09:12:28.192329 UTC,2024-07-19 09:12:28.192329 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48647-192.168.126.204:78-17,192.168.177.151,48647,192.168.126.204,78,17,2024-07-19 09:12:31.498534 UTC,2024-07-19 09:12:31.498534 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:37155-192.168.126.204:80-17,192.168.177.151,37155,192.168.126.204,80,17,2024-07-19 09:12:39.283424 UTC,2024-07-19 09:12:39.283424 UTC,0,1,0,40,0,40,40,40,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,40,40,40,0,0,0,0,0,0,0,0,0,0,0,48,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48647-192.168.126.204:80-17,192.168.177.151,48647,192.168.126.204,80,17,2024-07-19 09:12:33.901954 UTC,2024-07-19 09:12:33.901954 UTC,0,1,0,14,0,14,14,14,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,14,14,14,0,0,0,0,0,0,0,0,0,0,0,22,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48651-192.168.126.204:80-17,192.168.177.151,48651,192.168.126.204,80,17,2024-07-19 09:12:34.102240 UTC,2024-07-19 09:12:34.102240 UTC,0,1,0,14,0,14,14,14,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,14,14,14,0,0,0,0,0,0,0,0,0,0,0,22,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48641-192.168.126.204:78-17,192.168.177.151,48641,192.168.126.204,78,17,2024-07-19 09:12:28.192361 UTC,2024-07-19 09:12:28.192361 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:52784-192.168.126.204:71-17,192.168.177.151,52784,192.168.126.204,71,17,2024-07-19 09:12:34.280174 UTC,2024-07-19 09:12:34.280174 UTC,0,1,0,40,0,40,40,40,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,40,40,40,0,0,0,0,0,0,0,0,0,0,0,48,48,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48647-192.168.126.204:73-17,192.168.177.151,48647,192.168.126.204,73,17,2024-07-19 09:12:31.501130 UTC,2024-07-19 09:12:31.501130 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48641-192.168.126.204:80-17,192.168.177.151,48641,192.168.126.204,80,17,2024-07-19 09:12:28.192487 UTC,2024-07-19 09:12:28.192487 UTC,0,1,0,14,0,14,14,14,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,14,14,14,0,0,0,0,0,0,0,0,0,0,0,22,22,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48641-192.168.126.204:70-17,192.168.177.151,48641,192.168.126.204,70,17,2024-07-19 09:12:28.192351 UTC,2024-07-19 09:12:28.192351 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:60473-192.168.126.204:80-17,192.168.177.151,60473,192.168.126.204,80,17,2024-07-19 09:12:39.284027 UTC,2024-07-19 09:12:39.284027 UTC,0,1,0,30,0,30,30,30,0,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,30,30,30,0,0,0,0,0,0,0,0,0,0,0,38,38,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48641-192.168.126.204:71-17,192.168.177.151,48641,192.168.126.204,71,17,2024-07-19 09:12:28.194759 UTC,2024-07-19 09:12:28.194759 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
192.168.177.151:48647-192.168.126.204:75-17,192.168.177.151,48647,192.168.126.204,75,17,2024-07-19 09:12:33.701439 UTC,2024-07-19 09:12:33.701439 UTC,0,1,0,0,0,0,0,0,0,0,0,0,0,NaN,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,inf,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,scanning,nmap
